Time/s,DBN-TOPSIS,AR-DS-DBN-TOPSIS
75,0.0,0.0
90,1.1786,0.0
110,1.1786,0.0
130,1.1786,0.0
150,0.0,0.0
210,0.1071,0.0
225,0.1071,0.0
250,0.1071,0.0
290,0.1071,0.0
300,0.1071,0.0
375,0.0,0.0
450,0.0,0.0
525,0.0,0.0
600,0.0,0.0
