Time,Aircraft,Role,CapabilityState,DamageLevel,Value,Vulnerability,BaselineVulnerability,Maneuverability,BaselineManeuverability,DegradationFactor,AggregationWeight
17,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
17,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
17,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
18,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
18,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
18,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
18,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
19,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
19,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
19,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
19,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
20,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
20,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
20,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
20,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
21,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
21,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
21,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
21,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
22,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
22,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
22,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
22,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
23,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
23,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
23,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
23,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
24,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
24,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
24,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
24,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
25,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
25,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
25,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
25,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
26,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
26,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
26,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
26,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
27,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
27,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
27,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
27,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
28,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
28,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
28,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
28,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
29,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
29,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
29,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
29,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
30,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
30,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
30,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
30,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
31,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
31,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
31,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
31,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
32,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
32,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
32,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
32,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
33,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
33,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
33,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
33,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
34,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
34,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
