time,target_id,name,truth,label,FR,AC,ST,FO,Theta,Delta_H1,Delta_V,Delta_C,Delta_H2,window_size,mean_conflict
0,0,T1(BGM-109C),,FO,0.010242099778285722,0.010328625535956728,0.14493973430146087,0.7344895403842967,0.09999999999999995,4800.0,256.79999999999995,80.67000000000002,,1,0.0
0,1,T2(AGM-86B),,FO,0.010242099778285722,0.010328625535956728,0.14493973430146087,0.7344895403842967,0.09999999999999995,4750.0,232.32000000000005,87.61000000000001,,1,0.0
0,2,T3(AH-64A),,FO,0.010242099778285722,0.010328625535956728,0.14493973430146087,0.7344895403842967,0.09999999999999995,3400.0,134.88,109.44999999999999,,1,0.0
0,3,T4(F-16C),,FO,0.010242099778285722,0.010328625535956728,0.14493973430146087,0.7344895403842967,0.09999999999999995,4200.0,1174.8,76.29000000000002,,1,0.0
0,4,T5(F-22),,FO,0.010242099778285722,0.010328625535956728,0.14493973430146087,0.7344895403842967,0.09999999999999995,4800.0,1664.4,77.45999999999998,,1,0.0
0,5,T6(B-52H),,FO,0.010242099778285722,0.010328625535956728,0.14493973430146087,0.7344895403842967,0.09999999999999995,3500.0,281.28,72.68,,1,0.0
0,6,T7(MQ-9),,FO,0.010242099778285722,0.010328625535956728,0.14493973430146087,0.7344895403842967,0.09999999999999995,7500.0,208.32,110.43,,1,0.0
0,7,IFF-FR-Return-1,Ally1,FR,0.7313649604988677,0.14726017875036707,0.010987804162156918,0.010387056588608452,0.09999999999999987,8.0,4.655999999999949,0.5,,1,0.0
0,8,IFF-AC-Return-2,Ally2,FR,0.512367826580463,0.35715449936000554,0.015371702690823537,0.015105971368707923,0.09999999999999998,0.0,1.4640000000000555,3.0,,1,0.0
0,9,IFF-ST-Return-3,Ally3,FR,0.5124670130431359,0.35718910553550126,0.015245210064017977,0.015098671357344832,0.09999999999999998,0.0,0.2400000000000091,3.0,,1,0.0
1,0,T1(BGM-109C),,FO,0.002868439849892943,0.0028938630573720385,0.06659900562776368,0.9143176843725735,0.013321007092397863,4794.0,256.79999999999995,80.69,,2,0.23417154334304896
1,1,T2(AGM-86B),,FO,0.002868439849892943,0.0028938630573720385,0.06659900562776368,0.9143176843725735,0.013321007092397863,4744.0,232.32000000000005,87.63999999999999,,2,0.23417154334304896
1,2,T3(AH-64A),,FO,0.002868439849892943,0.0028938630573720385,0.06659900562776368,0.9143176843725735,0.013321007092397863,3400.0,134.88,109.50999999999999,,2,0.23417154334304896
1,3,T4(F-16C),,FO,0.002868439849892943,0.0028938630573720385,0.06659900562776368,0.9143176843725735,0.013321007092397863,4199.0,1174.8,76.30000000000001,,2,0.23417154334304896
1,4,T5(F-22),,FO,0.002868439849892943,0.0028938630573720385,0.06659900562776368,0.9143176843725735,0.013321007092397863,4799.0,1664.4,77.48000000000002,,2,0.23417154334304896
