Time/s,DBN-TOPSIS,AR-DS-DBN-TOPSIS
75,0.0,0.0
120,0.5143,0.0
145,0.7429,0.0
150,0.8,0.0
165,0.8,0.0
175,0.5714,0.0
205,0.4571,0.0
215,0.4571,0.0
230,0.3429,0.3429
240,0.6286,0.2286
250,0.4571,0.0571
280,0.4,0.1143
300,0.4,0.0571
310,0.3429,0.0
330,0.0,0.0
375,0.0,0.0
450,0.0,0.0
525,0.0,0.0
600,0.0,0.0
