Time/s,DBN-TOPSIS,AR-DS-DBN-TOPSIS
75,0.0,0.0
90,0.1714,0.0
110,0.1714,0.0
130,0.1714,0.0
150,0.0,0.0
210,0.8571,0.1714
225,0.8571,0.0
250,0.8571,0.0
290,0.5714,0.0571
300,0.5714,0.0571
375,0.0,0.0
450,0.0,0.0
525,0.0,0.0
600,0.0,0.0
