record_idx,time,target_idx,target,target_type,target_intent,physical_member_idx,physical_member,model_member_idx,model_member,top1_match,top2_match,model_margin,local_spread,reference_distance_km,reference_ttc_s,reference_closing_speed_km_s,reference_shortcut_km,C_F1,distance_F1_km,ttc_F1_s,C_F2,distance_F2_km,ttc_F2_s,C_F3,distance_F3_km,ttc_F3_s,C_F4,distance_F4_km,ttc_F4_s,hom_C_avg,het_C_avg,delta_C_avg,hom_C_soft,het_C_soft,delta_C_soft,hom_S_agg,het_S_agg,delta_S_agg,hom_S_total,het_S_total,delta_S_total
75,75.0,0,T0,Missile,Attack,0,F1,0,F1,1,1,0.0,0.0,603.7755865938622,856.1253349594521,0.5957079883360344,41.022531133655505,0.9901681774650245,603.7755865938622,856.1253349594521,0.9901681774650245,618.7998319770784,869.1607284096308,0.9901681774650245,635.9771094629947,931.8262399905511,0.9901681774650245,663.2250482035927,948.4437470104987,0.9901681774650245,0.9901681774650246,1.1102230246251565e-16,0.9901681774650251,0.9901681774650251,0.0,0.9901681774650246,0.9901681774650246,0.0,0.9901681774650245,0.9901681774650245,0.0
75,75.0,1,T1,Missile,Attack,0,F1,0,F1,1,1,0.0,0.0,649.4599839997172,961.9566994209433,0.5752158347863745,32.307717281897936,0.9901681774650245,649.4599839997172,961.9566994209433,0.9901681774650245,681.8222679294882,1035.0820415306182,0.9901681774650245,664.0942006369688,979.5124549084968,0.9901681774650245,708.7369573240377,1058.9585534981932,0.9901681774650245,0.9901681774650246,1.1102230246251565e-16,0.9901681774650251,0.9901681774650251,0.0,0.9901681774650246,0.9901681774650246,0.0,0.9901681774650245,0.9901681774650245,0.0
75,75.0,3,T3,Fighter,Feint,0,F1,0,F1,1,1,7.879687904943644e-06,4.6074850629906905e-05,358.0057254009032,356.1464980399368,0.7284390241876202,23.166971329248376,0.9849043588080291,358.0057254009032,356.1464980399368,0.9848834276635524,391.2172073282772,410.26326336310535,0.9848964791201241,372.29591311171833,373.787113165578,0.9848582839573992,416.9165523598384,434.34952745278446,0.9848856373872761,0.9848868378386255,1.200451349436804e-06,0.9848856389136338,0.9848868394782988,1.2005646650159463e-06,0.9848949984029242,0.984895598651262,6.00248337812026e-07,0.9849043988043354,0.9849045788788369,1.8007450142132342e-07
75,75.0,4,T4,Fighter,Attack,1,F2,0,F1,0,1,4.731452874162656e-06,4.314858401488486e-05,342.3405693349243,274.5711294718064,0.8941055120398427,34.57401406761377,0.9749402347367103,334.18618517250445,284.467558269629,0.9749355032838362,342.3405693349243,274.5711294718064,0.9749155926054316,370.1471289367282,354.8725661203359,0.9748970861526954,389.29816095586244,334.1427391679333,0.9749221041946684,0.9749233280940082,1.2238993397639675e-06,0.9749221056653316,0.9749233296478979,1.2239825663007409e-06,0.9749311697598221,0.9749317817261371,6.119663150672139e-07,0.9749413233011923,0.9749415068910867,1.8358989439803963e-07
75,75.0,5,T5,Bomber,Interference,0,F1,0,F1,1,1,0.0008258685942185151,0.004938085051780838,314.4743598964885,774.8211496371408,0.2974546354181153,72.06361094698461,0.5263111890137748,314.4743598964885,774.8211496371408,0.5239000046357941,352.18112750914224,904.0804609719956,0.5254853204195563,316.158643130184,1000000.0,0.521373103961994,364.37104400126873,1000000.0,0.5242674045077798,0.5244022817149548,0.0001348772071750881,0.5242850611657839,0.5244212355384272,0.00013617437264334953,0.5252928280923781,0.5253605261290593,6.769803668116303e-05,0.52651793995523,0.5265382493662344,2.030941100439332e-05
80,80.0,0,T0,Missile,Attack,0,F1,0,F1,1,1,0.0,0.0,600.7970808936474,851.1253349594529,0.5956942577988192,41.022531133655455,0.9901681774650245,600.7970808936474,851.1253349594529,0.9901681774650245,615.8145476014938,864.1607284096308,0.9901681774650245,633.0072028479726,926.826239990551,0.9901681774650245,660.2420301536523,943.4437470104932,0.9901681774650245,0.9901681774650246,1.1102230246251565e-16,0.9901681774650251,0.9901681774650251,0.0,0.9901681774650246,0.9901681774650246,0.0,0.9901681774650245,0.9901681774650245,0.0
80,80.0,1,T1,Missile,Attack,0,F1,0,F1,1,1,0.0,0.0,646.5839206940921,956.9566994209438,0.5752094733470434,32.30771728189796,0.9901681774650245,646.5839206940921,956.9566994209438,0.9901681774650245,678.9520771082313,1030.0820415306168,0.9901681774650245,661.2145835025128,974.5124549084951,0.9901681774650245,705.8580763516374,1053.958553498186,0.9901681774650245,0.9901681774650246,1.1102230246251565e-16,0.9901681774650251,0.9901681774650251,0.0,0.9901681774650246,0.9901681774650246,0.0,0.9901681774650245,0.9901681774650245,0.0
80,80.0,3,T3,Fighter,Feint,0,F1,0,F1,1,1,7.52567307615859e-06,4.35863647926249e-05,354.3639093746676,351.1202562099822,0.728307162425405,22.72509789926912,0.9849061540866242,354.3639093746676,351.1202562099822,0.9848862092536169,387.59242676275153,405.0957314425271,0.984898628413548,368.6486529043807,368.92671932084806,0.9848625677218316,413.26754981772746,429.4125062004135,0.9848883898689051,0.9848895344733253,1.1446044201335326e-06,0.9848883912337787,0.9848895359402952,1.1447065164649217e-06,0.9848972722507393,0.9848978445733687,5.723226293996575e-07,0.9849062206375739,0.9849063923343627,1.7169678878659056e-07
80,80.0,4,T4,Fighter,Attack,1,F2,0,F1,0,1,4.4699424167626844e-06,4.077313716377429e-05,337.87025207233415,269.41199725918045,0.8939264735725619,33.7354490548101,0.9749426182451316,329.7936690959889,278.8717108994207,0.9749381483027149,337.87025207233415,269.41199725918045,0.9749191726117443,365.7942002759325,348.0249897167343,0.9749018451079678,384.8446651593495,328.7562310656043,0.9749254460668897,0.9749266092158815,1.1631489917895976e-06,0.9749254473826041,0.974926610605876,1.163223271927194e-06,0.9749340324191536,0.9749346140085056,5.815893520111359e-07,0.9749436952183741,0.9749438696951797,1.7447680555893186e-07
80,80.0,5,T5,Bomber,Interference,0,F1,0,F1,1,1,0.0010027841310160657,0.005686786604541361,313.01010470169126,798.8701808722028,0.28975551135647226,75.95351082144578,0.5259075726178492,313.01010470169126,798.8701808722028,0.5232117683897052,350.7092895139408,933.5135302292899,0.5249047884868331,314.7488072374356,1000000.0,0.5202207860133078,362.9543110105702,1000000.0,0.5235612288769238,0.5237153367252222,0.00015410784829839042,0.5235843752306244,0.5237402342053862,0.00015585897476178,0.5247390300181266,0.5248164341675685,7.740414944190643e-05,0.5261366850757685,0.5261599063206011,2.3221244832560828e-05
