Time,Aircraft,Role,CapabilityState,DamageLevel,Value,Vulnerability,BaselineVulnerability,Maneuverability,BaselineManeuverability,DegradationFactor,AggregationWeight
15,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
15,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
15,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
16,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
16,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
16,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
16,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
17,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
17,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
17,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
17,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
18,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
18,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
18,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
18,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
19,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
19,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
19,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
19,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
20,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
20,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
20,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
20,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
21,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
21,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
21,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
